product_code;ozon_stock;ozon_ordered
2000174590015;2;0
2000174600011;3;0
2000174610010;10;0
2000174620019;4;0
2000174630018;1;0
2000174640017;2;0
2000174650016;10;0
2000174660015;5;0
2000174670014;9;0
2000174680013;2;0
2000174690012;4;0
2000174700018;2;0
2000174710017;5;0
2000174720016;5;0
2000174730015;10;0
2000174740014;1;0
2000174760012;5;0
2000174770011;5;0
2000174780010;15;0
2000174790019;10;0
2000174800015;0;0
2000174820013;6;0
2000174830012;5;0
2000174840011;5;0
2000174850010;6;0
2000174860019;2;0
2000174880017;6;0
2000174890016;6;0
2000174900012;9;0
2000174910011;5;0
2000174920010;5;0
2000225110018;0;0
2000225150014;0;0
2000225160013;0;0
2000225170012;0;0
2000225180011;0;0
2000240840013;0;0
2000470390012;0;0
2000470400018;0;0
2000470420016;0;0
2000470430015;0;0
2000470440014;0;0
2000478140015;5;0
2001459803516;1;0
2001459803608;1;0
2001459803653;1;0
2001459803660;1;0
2001459803677;2;0
2001459803684;1;0
2001459803691;2;0
2001459803769;3;0
2001459803813;3;0
2001459803820;1;0
2001459821213;0;0
2001459824795;0;0
2001459824801;0;0
2001459824818;0;0
2001459824825;0;0
2001459824832;2;0
2001459824849;8;0
2001459824856;19;0
2001459824870;15;0
2001459824894;42;0
2001459824900;42;0
2001459824917;47;0
2001459824924;22;0
2001459824931;19;0
2001459824948;5;0
2001459824955;44;0
2001459827727;0;0
2001459827741;0;0
2001459827758;0;0
2001459827765;0;0
2001459831519;3;0
2001459831526;2;0
2001459831533;5;1
2001459831540;2;1
2001459831557;1;0
2001459831564;0;0
2001459831571;0;0
2001459831588;6;0
2001459831595;2;1
2001459831601;9;0
2001459831618;0;0
2001459831625;2;0
2001459831632;3;0
2001459831649;1;0
2001459831656;1;0
2001459831663;0;0
2001459831670;0;0
2001459831687;0;0
2001459834572;2;0
2001459834589;5;0
2001459834596;8;0
2001459834602;1;0
2001459834619;0;0
2001459834626;0;0
2001459834633;7;0
2001459834657;2;0
2001459834664;0;0
2001459834671;0;0
2001459834992;0;0
2001459835449;4;0
2001459835456;15;0
2001459835463;3;0
2001459835470;6;0
2001459835487;11;0
2001459835494;6;0
2001459835500;2;0
2001459835517;3;0
2001459835524;3;0
2001459835531;1;0
2001459835548;14;0
2001459835555;4;0
2001459835579;1;1
2001459835586;1;0
2001459835593;3;0
2001459835609;3;0
2001459835616;4;0
2001459835623;1;0
2001459835661;12;0
2001459835791;3;0
2001459835814;3;0
2001459835838;2;0
2001459835869;12;1
2001459835883;2;0
2001459835906;3;0
2001459835913;6;0
2001459841457;10;0
2001459841464;7;0
2001459841495;181;0
2001459841501;13;0
2001459841518;2;0
2001459841525;0;0
2001459841532;4;0
2001459845004;10;0
2001459845059;10;0
2001459845073;10;0
2001459845080;7;0
2001459845097;8;0
2001459845103;9;0
2001459845110;10;0
2001459845127;7;0
2001459845134;10;0
2001459845158;3;1
2001459845172;6;0
2001459845981;2;0
2001459845998;2;0
2001459846018;4;0
2001459846025;0;0
2001459846032;2;0
2001459846049;3;0
2001459846056;6;0
2001459848050;3;0
2001459853276;1;0
2001459853283;0;0
2001459853290;0;0
2001459853306;1;0
2001459853313;2;0
2001459854235;3;0
2001459854242;3;0
2001459854259;1;0
2001459854266;2;0
2001459854273;0;0
2001459854280;1;0
2001459854297;4;0
2001459854303;1;0
2001459854310;1;0
2001459854327;1;0
2001459854334;2;0
2001459854341;2;0
2001459854358;3;0
2001459854372;0;0
2001459854389;0;0
2001459854396;0;0
2001459854402;2;0
2001459854419;10;0
2001459854426;7;0
2001459854433;11;0
2001459854440;1;0
2001459854457;7;0
2001459854464;2;0
2001459854471;1;0
2001459854488;0;0
2001459854518;2;0
2001459854525;1;0
2001459854532;4;0
2001459855164;1;0
2001459855171;2;0
2001459855188;48;0
2001459855195;3;0
2001459855218;1;0
2001459855249;5;0
2001459855256;2;0
2001459855317;2;0
2001459855331;1;0
2001459855379;1;0
2001459855393;5;0
2001459855409;26;0
2001459855416;3;0
2001459855423;8;0
2001459855447;3;0
2001459855485;3;0
2001459855492;12;0
2001459855515;10;0
2001459855522;5;0
2001459855560;2;0
