product_code;stock;product_name
2000095000013;0;Куртка 471T-TRUD-16
2000095010012;0;Куртка 471T-TRUD-16
2000095400011;0;Куртка 419-TWILL-15/90
2000095550013;0;Куртка 429-TWILL-15/77
2000095560012;1;Куртка 429-TWILL-15/77
2000096070015;0;Куртка 471T-TRUD-54
2000096660018;0;Куртка 471T-TRUD-81
2000096750016;0;Куртка 471T-TRUD-81
2000096760015;3;Куртка 471T-TRUD-81
2000096780013;0;Куртка 471T-TRUD-81
2000096790012;3;Куртка 471T-TRUD-81
2000098230011;1;Брюки 255KT-FAS-14
2000099040015;2;Куртка 471T-FAS-14
2000099150011;0;Куртка 471T-FAS-14
2000100430019;11;Полукомбинезон 51T-FAS-14
2000100530016;1;Полукомбинезон 51T-FAS-14
2000100620014;4;Полукомбинезон 51T-FAS-14
2000102650019;0;Полукомбинезон 71KA-FAS-14
2000110390013;4;Брюки 233T-FAS-14
2000110440015;2;Брюки 233T-FAS-14
2000110990015;11;Куртка 471T-FAS-14
2000114330015;3;Брюки 233T-FAS-14
2000116590011;3;Куртка 471T-FAS-58
2000116640013;10;Куртка 471T-FAS-58
2000116650012;9;Куртка 471T-FAS-58
2000116670010;9;Куртка 471T-FAS-58
2000117120019;1;Куртка 471T-FAS-24
2000117150016;0;Куртка 471T-FAS-24
2000117170014;9;Куртка 471T-FAS-24
2000117180013;1;Куртка 471T-FAS-24
2000117210017;8;Куртка 471T-FAS-24
2000117220016;10;Куртка 471T-FAS-24
2000117230015;14;Куртка 471T-FAS-24
2000117240014;7;Куртка 471T-FAS-24
2000117250013;0;Куртка 471T-FAS-24
2000117260012;6;Куртка 471T-FAS-24
2000117270011;7;Куртка 471T-FAS-24
2000117280010;9;Куртка 471T-FAS-24
2000117290019;6;Куртка 471T-FAS-24
2000117300015;8;Куртка 471T-FAS-24
2000117340011;5;Полукомбинезон 71T-FAS-24
2000117360019;0;Полукомбинезон 71T-FAS-24
2000117380017;25;Полукомбинезон 71T-FAS-24
2000117390016;0;Полукомбинезон 71T-FAS-24
2000117420010;0;Полукомбинезон 71T-FAS-24
2000117460016;5;Полукомбинезон 71T-FAS-24
2000117480014;0;Полукомбинезон 71T-FAS-24
2000117520017;4;Полукомбинезон 71T-FAS-24
2000117570012;8;Полукомбинезон 71T-FAS-24
2000117650011;10;Куртка 471T-FAS-90
2000117670019;4;Куртка 471T-FAS-90
2000117680018;6;Куртка 471T-FAS-90
