"Product id";"Product code";"Product name"
4531;"84S-TOMBOY-15|42_164";"Полукомбинезон 84S-TOMBOY-15"
4532;"84S-TOMBOY-15|46_170";"Полукомбинезон 84S-TOMBOY-15"
4533;"84S-TOMBOY-15|50_176";"Полукомбинезон 84S-TOMBOY-15"
4534;"84S-TOMBOY-15|50_182";"Полукомбинезон 84S-TOMBOY-15"
4535;"84S-TOMBOY-15|62_182";"Полукомбинезон 84S-TOMBOY-15"
4568;"92T-P154-77/15|44-46_158-164";"Полукомбинезон 92T-P154-77/15"
4576;"92T-P154-77/15|60-62_170-176";"Полукомбинезон 92T-P154-77/15"
4577;"92T-P154-77/15|60-62_182-188";"Полукомбинезон 92T-P154-77/15"
4578;"92T-P154-77/15|64-66_170-176";"Полукомбинезон 92T-P154-77/15"
4579;"92T-P154-77/15|64-66_182-188";"Полукомбинезон 92T-P154-77/15"
4584;"91KR-FLAM-15/14|60_182";"Полукомбинезон сварщика летний 91KR-FLAM-15/14"
4589;"1315-SATORI-87|48-50_170";"Рубашка женская 1315-SATORI-87"
4590;"1315-ULTRA-00|48-50_170";"Рубашка женская 1315-ULTRA-00"
4591;"315-SATORI-10|52-54_176";"Рубашка мужская 315-SATORI-10"
4592;"315-ULTRA-00|52-54_176";"Рубашка мужская 315-ULTRA-00"
4596;"757-PHK-14/15|64-66_176";"Свитер 757-PHK-14/15"
4597;"757-PHK-14/15|44-46_170";"Свитер 757-PHK-14/15"
4598;"757-PHK-14/15|44-46_176";"Свитер 757-PHK-14/15"
4599;"757-PHK-14/15|44-46_182";"Свитер 757-PHK-14/15"
4600;"757-PHK-14/15|60-62_176";"Свитер 757-PHK-14/15"
4601;"757-PHK-14/15|64-66_182";"Свитер 757-PHK-14/15"
4612;"111-P159-00|50_164";"Халат женский 111-P159-00"
4613;"111-P159-00|50_176";"Халат женский 111-P159-00"
4614;"111-P159-00|50_182";"Халат женский 111-P159-00"
4615;"111-P159-00|56_164";"Халат женский 111-P159-00"
4630;"159-TOMBOY-13|60-62_164-170";"Халат женский 159-TOMBOY-13"
4631;"163-P154-12|48-50_170";"Халат женский 163-P154-12"
4637;"UJ6840-P159-00/81|56-58_176";"Халат женский UJ6840-P159-00/81"
4644;"104-TEREDO-80|60-62_152";"Халат мужской 104-TEREDO-80"
4645;"104-TEREDO-80|40-42_152";"Халат мужской 104-TEREDO-80"
4646;"169HS-TOMBOY-00|44-46_176";"Халат мужской 169HS-TOMBOY-00"
4647;"169HS-TOMBOY-00|48-50_164";"Халат мужской 169HS-TOMBOY-00"
4648;"169HS-TOMBOY-00|64-66_182";"Халат мужской 169HS-TOMBOY-00"
4671;"CA5150-TEREDO-00/82";"Колпак повара CA5150"
4675;"567KC-TASLAN-57|58";"Шапка 567KC-TASLAN-57"
4677;"567KC-TASLAN-57|62";"Шапка 567KC-TASLAN-57"
4691;"568-FLIS-75|55-56-57";"Шапка 568-FLIS-75"
4865;"43AC-TWILL-15/77|64-66_170-176";"Полукомбинезон 43AC-TWILL-15/77"
4913;"722S-ULTRA-00|52-54_176";"Блуза пекаря 722S-ULTRA-00"
4914;"723S-SATORI-00|52-54_176";"Блуза пекаря 723S-SATORI-00"
4929;"1K016-537-001|32";"Бриджи Image Wear 1K016-537-001"
4930;"1K016-537-001|34";"Бриджи Image Wear 1K016-537-001"
4931;"1K016-537-001|36";"Бриджи Image Wear 1K016-537-001"
4932;"1K016-537-001|38";"Бриджи Image Wear 1K016-537-001"
4933;"1K016-537-001|42";"Бриджи Image Wear 1K016-537-001"
4934;"1K016-537-001|48";"Бриджи Image Wear 1K016-537-001"
4935;"1K016-537-001|50";"Бриджи Image Wear 1K016-537-001"
4936;"1K016-537-990|32";"Бриджи Image Wear 1K016-537-990"
5034;"264-TOMBOY-13|60_188";"Брюки 264-TOMBOY-13"
5133;"7013-565-775|44_164";"Комбинезон 7013-565-775"
5134;"7013-565-775|46_170";"Комбинезон 7013-565-775"
5135;"7013-565-775|58_182";"Комбинезон 7013-565-775"
5136;"7013-565-775|60_188";"Комбинезон 7013-565-775"
5145;"8013OX-565-775|46_176";"Комбинезон 8013OX-565-775"
5146;"8013OX-565-775|56_188";"Комбинезон 8013OX-565-775"
5147;"8013OX-565-775|58_188";"Комбинезон 8013OX-565-775"
5148;"830-EASN-14|48-50_170";"Комбинезон 830-EASN-14"
5149;"830-EASN-14|48-50_176";"Комбинезон 830-EASN-14"
5150;"830-EASN-14|48-50_182";"Комбинезон 830-EASN-14"
5151;"830-EASN-14|52-54_176";"Комбинезон 830-EASN-14"
5152;"830-EASN-14|52-54_182";"Комбинезон 830-EASN-14"
5153;"830-EASN-14|52-54_188";"Комбинезон 830-EASN-14"
5165;"830-NEON-72|56-58_188";"Комбинезон 830-NEON-72"
5220;"8367-565-750|62_200";"Комбинезон 8367-565-750"
5221;"8367-565-750|64_200";"Комбинезон 8367-565-750"
5222;"8367-565-750|66_200";"Комбинезон 8367-565-750"
5223;"8831-TWILL-71/66|44-46_164";"Комбинезон 8831-TWILL-71/66"
5226;"8831-TWILL-71/66|48-50_164";"Комбинезон 8831-TWILL-71/66"
5230;"8831-TWILL-71/66|48-50_188";"Комбинезон 8831-TWILL-71/66"
5231;"8831-TWILL-71/66|52-54_170";"Комбинезон 8831-TWILL-71/66"
5235;"8831-TWILL-71/66|56-58_170";"Комбинезон 8831-TWILL-71/66"
5239;"8831-TWILL-71/66|60-62_176";"Комбинезон 8831-TWILL-71/66"
5240;"8831-TWILL-71/66|60-62_182";"Комбинезон 8831-TWILL-71/66"
5241;"8831-TWILL-71/66|60-62_188";"Комбинезон 8831-TWILL-71/66"
5242;"8831-TWILL-71/66|64-66_176";"Комбинезон 8831-TWILL-71/66"
5243;"8831-TWILL-71/66|64-66_182";"Комбинезон 8831-TWILL-71/66"
5244;"8831-TWILL-71/66|64-66_188";"Комбинезон 8831-TWILL-71/66"
5245;"64725-412B-750|44_170";"Комбинезон Image Wear 64725-412B-750"
5246;"64725-412B-750|46_170";"Комбинезон Image Wear 64725-412B-750"
5247;"64725-412B-750|60_188";"Комбинезон Image Wear 64725-412B-750"
5248;"64725-412B-750|62_188";"Комбинезон Image Wear 64725-412B-750"
5249;"64725-412B-750|64_188";"Комбинезон Image Wear 64725-412B-750"
5250;"64725-412B-750|66_194";"Комбинезон Image Wear 64725-412B-750"
5280;"314-TOMBOY-13|56-58_200";"Куртка 314-TOMBOY-13"
5356;"ACODE-1426-66|L";"Куртка женская ACODE-1426-66"
5357;"ACODE-1426-66|M";"Куртка женская ACODE-1426-66"
5358;"ACODE-1426-66|XL";"Куртка женская ACODE-1426-66"
5359;"ACODE-1426-90|XL";"Куртка женская ACODE-1426-90"
5360;"ACODE-1443-90|L";"Куртка женская ACODE-1443-90"
5361;"ACODE-1443-90|S";"Куртка женская ACODE-1443-90"
5362;"ACODE-1443-90|XL";"Куртка женская ACODE-1443-90"
5363;"41104-500-556|42";"Куртка женская Image Wear 41104-500-556"
5364;"41104-500-556|44";"Куртка женская Image Wear 41104-500-556"
5365;"41104-500-556|52";"Куртка женская Image Wear 41104-500-556"
5366;"41104-500-556|56";"Куртка женская Image Wear 41104-500-556"
5371;"ACODE-1404-15|M";"Куртка ACODE-1404-15"
5372;"ACODE-1404-15|S";"Куртка ACODE-1404-15"
5373;"ACODE-1404-15|XL";"Куртка ACODE-1404-15"
5374;"ACODE-1404-81|S";"Куртка ACODE-1404-81"
5375;"ACODE-1404-81|XL";"Куртка ACODE-1404-81"
5376;"ACODE-1404-90|S";"Куртка ACODE-1404-90"
5377;"ACODE-1404-93|L";"Куртка ACODE-1404-93"
5378;"ACODE-1404-93|M";"Куртка ACODE-1404-93"
5379;"ACODE-1404-93|S";"Куртка ACODE-1404-93"
5380;"ACODE-1404-93|XL";"Куртка ACODE-1404-93"
5381;"ACODE-1404-93|XXL";"Куртка ACODE-1404-93"
5387;"8003-845-001|58";"Куртка Image Wear 8003-845-001"
5393;"116|38";"Поло женское из полотна Cool Dry 116"
5394;"116|42";"Поло женское из полотна Cool Dry 116"
5395;"116|44";"Поло женское из полотна Cool Dry 116"
5396;"116|48";"Поло женское из полотна Cool Dry 116"
5464;"8889N-765-775|52";"Полукомбинезон Image Wear 8889N-765-775"
5467;"112|40_164";"Рубашка женская 112"
5473;"112|62_188";"Рубашка женская 112"
5474;"113|40_152";"Рубашка женская 113"
5475;"113|44_164";"Рубашка женская 113"
5476;"113|46_170";"Рубашка женская 113"
5477;"113|50_176";"Рубашка женская 113"
5478;"113|52_176";"Рубашка женская 113"
5479;"113|54_188";"Рубашка женская 113"
5488;"FB8510-TRENDLITE-00|44_164";"Рубашка женская FB8510-TRENDLITE-00"
5489;"FB8510-TRENDLITE-00|46_164";"Рубашка женская FB8510-TRENDLITE-00"
5490;"FB8510-TRENDLITE-00|48_170";"Рубашка женская FB8510-TRENDLITE-00"
5491;"FB8510-TRENDLITE-00|50_170";"Рубашка женская FB8510-TRENDLITE-00"
5492;"FB8510-TRENDLITE-00|52_170";"Рубашка женская FB8510-TRENDLITE-00"
5493;"FB8510-TRENDLITE-00|58_170";"Рубашка женская FB8510-TRENDLITE-00"
5494;"FB8510-TRENDLITE-00|60_176";"Рубашка женская FB8510-TRENDLITE-00"
5495;"FB8510-TRENDLITE-00|62_176";"Рубашка женская FB8510-TRENDLITE-00"
5496;"FB8510-TRENDLITE-00|64_176";"Рубашка женская FB8510-TRENDLITE-00"
5497;"FB8510-TRENDLITE-00|66_176";"Рубашка женская FB8510-TRENDLITE-00"
5498;"FB8520-TRENDLITE-00|42_164";"Рубашка женская FB8520-TRENDLITE-00"
5499;"FB8520-TRENDLITE-00|44_164";"Рубашка женская FB8520-TRENDLITE-00"
5500;"FB8520-TRENDLITE-00|56_170";"Рубашка женская FB8520-TRENDLITE-00"
5501;"FB8520-TRENDLITE-00|64_176";"Рубашка женская FB8520-TRENDLITE-00"
5502;"FB8520-TRENDLITE-00|66_176";"Рубашка женская FB8520-TRENDLITE-00"
5503;"FB8520-TRENDLITE-00|70_176";"Рубашка женская FB8520-TRENDLITE-00"
5511;"119|42_158";"Рубашка мужская 119"
5512;"119|46_158";"Рубашка мужская 119"
5513;"119|48_164";"Рубашка мужская 119"
5514;"119|50_170";"Рубашка мужская 119"
5515;"119|54_170";"Рубашка мужская 119"
5516;"119|58_176";"Рубашка мужская 119"
5517;"120|48_164";"Рубашка мужская 120"
5518;"120|56_176";"Рубашка мужская 120"
5519;"120|66_188";"Рубашка мужская 120"
5520;"120|70_194";"Рубашка мужская 120"
5523;"122|48_182";"Рубашка мужская 122"
5524;"122|50_182";"Рубашка мужская 122"
5525;"122|52_188";"Рубашка мужская 122"
5526;"122|56_182";"Рубашка мужская 122"
5528;"122|62_194";"Рубашка мужская 122"
5529;"8026N-550-001|62";"Рубашка повара 8026N-550-001"
5530;"8026N-550-001|64";"Рубашка повара 8026N-550-001"
5531;"8026N-550-001|66";"Рубашка повара 8026N-550-001"
5532;"8026N-550-001|68";"Рубашка повара 8026N-550-001"
5533;"757-PHM-14/14|44-46_164";"Свитер 757-PHM-14/14"
5534;"757-PHM-14/14|44-46_170";"Свитер 757-PHM-14/14"
5535;"757-PHM-14/14|44-46_176";"Свитер 757-PHM-14/14"
5536;"757-PHM-14/14|44-46_182";"Свитер 757-PHM-14/14"
5537;"757-PHM-14/14|48-50_164";"Свитер 757-PHM-14/14"
5538;"757-PHM-14/14|52-54_164";"Свитер 757-PHM-14/14"
5539;"757-PHM-14/14|52-54_170";"Свитер 757-PHM-14/14"
5540;"757-PHM-14/14|56-58_170";"Свитер 757-PHM-14/14"
5541;"757-PHM-14/14|60-62_176";"Свитер 757-PHM-14/14"
5542;"757-PHM-14/14|64-66_176";"Свитер 757-PHM-14/14"
5543;"ACODE-1734-16|XXL";"Толстовка ACODE-1734-16"
5544;"ACODE-1734-24|XXL";"Толстовка ACODE-1734-24"
5545;"ACODE-1734-24|XXXL";"Толстовка ACODE-1734-24"
5559;"ACODE-1912-57|S";"Футболка ACODE-1912-57"
5560;"ACODE-1912-83|S";"Футболка ACODE-1912-83"
5561;"ACODE-1913-15|S";"Футболка ACODE-1913-15"
5562;"46726-000-820|S";"Футболка Image Wear 46726-000-820"
5569;"104-TOMBOY-00|44-46_164";"Халат мужской 104-TOMBOY-00"
5570;"104-TOMBOY-00|44-46_170";"Халат мужской 104-TOMBOY-00"
5571;"104-TOMBOY-00|44-46_176";"Халат мужской 104-TOMBOY-00"
5572;"104-TOMBOY-00|56-58_176";"Халат мужской 104-TOMBOY-00"
5573;"46420-500-001|44";"Халат мужской 46420-500-001"
5574;"46420-500-001|46";"Халат мужской 46420-500-001"
10316;"722S-SATORI-00|52-54_176";"Блуза пекаря 722S-SATORI-00"
10317;"723S-ULTRA-00|52-54_176";"Блуза пекаря 723S-ULTRA-00"
10442;"71T-FAS-24|64_206";"Полукомбинезон 71T-FAS-24"
10506;"71T-FAS-83|66_212";"Полукомбинезон 71T-FAS-83"
10595;"511S-P154-15/90|48-50_182-188";"Жилет 511S-P154-15/90"
10597;"511S-P154-15/90|52-54_182-188";"Жилет 511S-P154-15/90"
10598;"511N-FAS-14/16|48-50_170-176";"Жилет 511N-FAS-14/16"
10604;"511N-FAS-14/16|48-50_182-188";"Жилет 511N-FAS-14/16"
10605;"511N-FAS-14/16|52-54_170-176";"Жилет 511N-FAS-14/16"
10606;"511N-FAS-14/16|52-54_182-188";"Жилет 511N-FAS-14/16"
10607;"511N-FAS-14/16|56-58_170-176";"Жилет 511N-FAS-14/16"
10608;"511N-FAS-14/16|56-58_182-188";"Жилет 511N-FAS-14/16"
10609;"511S-P154-15/90|56-58_170-176";"Жилет 511S-P154-15/90"
10612;"511N-FAS-55/55|48-50_182-188";"Жилет 511N-FAS-55/55"
10614;"511N-FAS-55/55|52-54_182-188";"Жилет 511N-FAS-55/55"
10615;"511N-FAS-55/55|56-58_170-176";"Жилет 511N-FAS-55/55"
10640;"379T-P92-00|56-58_176";"Китель повара 379T-P92-00"
10661;"4398TD-TASLAN-15/16|56-58_170-176";"Куртка 4398TD-TASLAN-15/16"
10741;"51-FAS-14|60-62_170-176";"Полукомбинезон 51-FAS-14"
10742;"51-FAS-14|60-62_182-188";"Полукомбинезон 51-FAS-14"
10743;"51-FAS-14|64-66_170-176";"Полукомбинезон 51-FAS-14"
10744;"51-FAS-14|64-66_182-188";"Полукомбинезон 51-FAS-14"
11012;"374A-KR154-15|44-46_158-164";"Куртка 374A-KR154-15"
11014;"374A-KR154-15|60-62_182-188";"Куртка 374A-KR154-15"
11020;"374A-KR154-15|48-50_158-164";"Куртка 374A-KR154-15"
11023;"374A-KR154-15|56-58_170-176";"Куртка 374A-KR154-15"
11025;"827KAR-MU-81|52-54_176";"Комбинезон 827KAR-MU-80"
11026;"827KAR-MU-81|48-50_176";"Комбинезон 827KAR-MU-80"
11027;"827KAR-MU-81|48-50_182";"Комбинезон 827KAR-MU-80"
11028;"827KAR-MU-81|52-54_182";"Комбинезон 827KAR-MU-80"
11030;"55M-EASN-00/55|60-62_170-176";"Полукомбинезон 55M-EASN-00/55"
11031;"55M-EASN-00/55|60-62_182-188";"Полукомбинезон 55M-EASN-00/55"
11032;"55M-EASN-00/55|64-66_170-176";"Полукомбинезон 55M-EASN-00/55"
11033;"55M-EASN-00/55|64-66_182-188";"Полукомбинезон 55M-EASN-00/55"
11056;"374K-CY-6/90/48-50_170-176";"Куртка 374K-CY-6/90"
11057;"374K-CY-6/90/60-62_170-176";"Куртка 374K-CY-6/90"
11058;"374K-CY-6/90/60-62_182-188";"Куртка 374K-CY-6/90"
11059;"374K-CY-6/90/64-66_170-176";"Куртка 374K-CY-6/90"
11060;"374K-CY-6/90/64-66_182-188";"Куртка 374K-CY-6/90"
11061;"374K-CY-6/90/44-46_170-176";"Куртка 374K-CY-6/90"
11062;"374K-CY-6/90/44-46_158-164";"Куртка 374K-CY-6/90"
11063;"374K-CY-6/90/48-50_182-188";"Куртка 374K-CY-6/90"
11064;"374K-CY-6/90/48-50_158-164";"Куртка 374K-CY-6/90"
11065;"374K-CY-6/90/52-54_170-176";"Куртка 374K-CY-6/90"
11066;"374K-CY-6/90/52-54_182-188";"Куртка 374K-CY-6/90"
11067;"374K-CY-6/90/56-58_170-176";"Куртка 374K-CY-6/90"
11068;"374K-CY-6/90/56-58_182-188";"Куртка 374K-CY-6/90"
11113;"830-MU-90|56-58_188";"Комбинезон 830-MU-90"
11141;"51T-CY-55|64-66_170-176";"Полукомбинезон 51T-CY-55"
11147;"51T-CY-55|48-50_158-164";"Полукомбинезон 51T-CY-55"
11170;"379A-ULTRA-14/57|60-62_170-176";"Китель повара 379A-ULTRA-14/57"
11172;"379A-ULTRA-14/57|64-66_170-176";"Китель повара 379A-ULTRA-14/57"
11233;"827R-MU-75|60-62_176";"Комбинезон 827R-MU-75"
11371;"622S-TWILL-15|64-66_170-176";"Куртка 622S-TWILL-15"
11376;"622S-TWILL-15|48-50_158-164";"Куртка 622S-TWILL-15"
11402;"442KC-PP-15|48-50_158-164";"Куртка 442KC-PP-15"
11408;"622S-TWILL-80|60-62_170-176";"Куртка 622S-TWILL-80"
11428;"51-2-BK-15|44-46_158-164";"Полукомбинезон 51-2-BK-15"
11429;"51-2-BK-15|44-46_170-176";"Полукомбинезон 51-2-BK-15"
11430;"51-2-BK-15|44-46_182-188";"Полукомбинезон 51-2-BK-15"
11433;"51-2-BK-15|48-50_158-164";"Полукомбинезон 51-2-BK-15"
11437;"471T-FU-55|60-62_170-176";"Куртка 471T-FU-55"
11439;"471T-FU-55|64-66_170-176";"Куртка 471T-FU-55"
11440;"471T-FU-55|64-66_182-188";"Куртка 471T-FU-55"
11442;"471T-FU-55|44-46_158-164";"Куртка 471T-FU-55"
11450;"71T-FU-55|44-46_158-164";"Полукомбинезон 71T-FU-55"
11451;"71T-FU-55|60-62_170-176";"Полукомбинезон 71T-FU-55"
11453;"71T-FU-55|64-66_170-176";"Полукомбинезон 71T-FU-55"
11454;"71T-FU-55|64-66_182-188";"Полукомбинезон 71T-FU-55"
11468;"51-3-P154-15|56-58_170-176";"Полукомбинезон 51-3-P154-15"
11471;"818N-PP-15/71|60-62_182";"Комбинезон 818N-PP-15/71"
11633;"71T-FAS-24|60_206";"Полукомбинезон 71T-FAS-24"
