790,2000212030015,511T-FAS-83|64-66_176,Жилет рабочий 511T-FAS-83,"(790, '2000212030015', 'activity'),"
791,2000208470023,511T-FAS-83|64-66_182,Жилет рабочий 511T-FAS-83,"(791, '2000208470023', 'activity'),"
792,2000430730018,511T-FAS-90|64-66_170,Жилет рабочий 511T-FAS-90,"(792, '2000430730018', 'activity'),"
793,2000212090019,511T-FAS-90|64-66_182,Жилет рабочий 511T-FAS-90,"(793, '2000212090019', 'activity'),"
794,2001459846452,515H-BT-71/77|52-54_170-176,Жилет сигнальный утеплённый 515H-BT-71/77,"(794, '2001459846452', 'activity'),"
795,2001459846438,515H-BT-71/77|48-50_170-176,Жилет сигнальный утеплённый 515H-BT-71/77,"(795, '2001459846438', 'activity'),"
796,2001459846445,515H-BT-71/77|48-50_182-188,Жилет сигнальный утеплённый 515H-BT-71/77,"(796, '2001459846445', 'activity'),"
797,2001459846469,515H-BT-71/77|52-54_182-188,Жилет сигнальный утеплённый 515H-BT-71/77,"(797, '2001459846469', 'activity'),"
798,2001459874554,515H-BT/NEG-71/77|48-50_170-176,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(798, '2001459874554', 'activity'),"
799,2001459874547,515H-BT/NEG-71/77|44-46_170-176,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(799, '2001459874547', 'activity'),"
800,2001459874561,515H-BT/NEG-71/77|48-50_182-188,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(800, '2001459874561', 'activity'),"
801,2001459874578,515H-BT/NEG-71/77|52-54_170-176,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(801, '2001459874578', 'activity'),"
802,2001459874585,515H-BT/NEG-71/77|52-54_182-188,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(802, '2001459874585', 'activity'),"
803,2001459874592,515H-BT/NEG-71/77|56-58_170-176,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(803, '2001459874592', 'activity'),"
804,2001459874608,515H-BT/NEG-71/77|56-58_182-188,Жилет сигнальный утеплённый 515H-BT/NEG-71/77,"(804, '2001459874608', 'activity'),"
805,2001459874523,515H-NEG-71/77|52-54_182-188,Жилет сигнальный утеплённый 515H-NEG-71/77,"(805, '2001459874523', 'activity'),"
806,2001459874493,515H-NEG-71/77|44-46_170-176,Жилет сигнальный утеплённый 515H-NEG-71/77,"(806, '2001459874493', 'activity'),"
807,2001459874509,515H-NEG-71/77|48-50_170-176,Жилет сигнальный утеплённый 515H-NEG-71/77,"(807, '2001459874509', 'activity'),"
808,2001459874516,515H-NEG-71/77|48-50_182-188,Жилет сигнальный утеплённый 515H-NEG-71/77,"(808, '2001459874516', 'activity'),"
809,2001459874615,515H-NEG-71/77|56-58_170-176,Жилет сигнальный утеплённый 515H-NEG-71/77,"(809, '2001459874615', 'activity'),"
810,2001459874530,515H-NEG-71/77|56-58_182-188,Жилет сигнальный утеплённый 515H-NEG-71/77,"(810, '2001459874530', 'activity'),"
812,2000469800010,515NM-ADKN-14|56-58_170,Жилет утеплённый 515NM-ADKN-14,"(812, '2000469800010', 'activity'),"
