product_code;stock;product_name
2000174590015;5;Комбинезон 8831-TWILL-16/77 (44-46/164)
2000174600011;10;Комбинезон 8831-TWILL-16/77 (44-46/170)
2000174610010;14;Комбинезон 8831-TWILL-16/77 (44-46/176)
2000174620019;4;Комбинезон 8831-TWILL-16/77 (44-46/182)
2000174630018;1;Комбинезон 8831-TWILL-16/77 (44-46/188)
2000174640017;4;Комбинезон 8831-TWILL-16/77 (48-50/164)
2000174650016;19;Комбинезон 8831-TWILL-16/77 (48-50/170)
2000174660015;5;Комбинезон 8831-TWILL-16/77 (48-50/176)
2000174670014;15;Комбинезон 8831-TWILL-16/77 (48-50/182)
2000174680013;2;Комбинезон 8831-TWILL-16/77 (48-50/188)
2000174690012;4;Комбинезон 8831-TWILL-16/77 (48-50/194)
2000174700018;2;Комбинезон 8831-TWILL-16/77 (52-54/164)
2000174710017;8;Комбинезон 8831-TWILL-16/77 (52-54/170)
2000174720016;9;Комбинезон 8831-TWILL-16/77 (52-54/176)
2000174730015;27;Комбинезон 8831-TWILL-16/77 (52-54/182)
2000174740014;1;Комбинезон 8831-TWILL-16/77 (52-54/188)
2000174760012;6;Комбинезон 8831-TWILL-16/77 (56-58/164)
2000174770011;5;Комбинезон 8831-TWILL-16/77 (56-58/170)
2000174780010;15;Комбинезон 8831-TWILL-16/77 (56-58/176)
2000174790019;16;Комбинезон 8831-TWILL-16/77 (56-58/182)
2000174820013;6;Комбинезон 8831-TWILL-16/77 (60-62/164)
2000174830012;7;Комбинезон 8831-TWILL-16/77 (60-62/170)
2000174840011;5;Комбинезон 8831-TWILL-16/77 (60-62/176)
2000174850010;6;Комбинезон 8831-TWILL-16/77 (60-62/182)
2000174860019;2;Комбинезон 8831-TWILL-16/77 (60-62/188)
2000174880017;6;Комбинезон 8831-TWILL-16/77 (64-66/164)
2000174890016;6;Комбинезон 8831-TWILL-16/77 (64-66/170)
2000174900012;9;Комбинезон 8831-TWILL-16/77 (64-66/176)
2000174910011;5;Комбинезон 8831-TWILL-16/77 (64-66/182)
2000174920010;5;Комбинезон 8831-TWILL-16/77 (64-66/188)
2000225110018;1;Куртка 475TBIG-FAS-14 (76-78/176)
2000225150014;1;Куртка 475TBIG-FAS-14 (80-82/176)
2000225160013;1;Куртка 475TBIG-FAS-14 (80-82/182)
2000225170012;2;Куртка 475TBIG-FAS-14 (80-82/188)
2000225180011;2;Куртка 475TBIG-FAS-14 (80-82/194)
2000240840013;5;Куртка 475TBIG-FAS-24 (56-58/194)
2000478140015;5;Комбинезон 8831-TWILL-16/90 (44-46/188)
2001459803516;1;Бриджи 222B-CY-24 (88-92/158-164)
2001459803608;1;Бриджи 222B-CY-24 (112-116/158-164)
2001459803660;2;Бриджи 222B-CY-24 (128-132/182-188)
2001459803677;2;Бриджи 222B-CY-55 (88-92/158-164)
2001459803684;1;Бриджи 222B-CY-55 (88-92/170-176)
2001459803769;3;Бриджи 222B-CY-55 (112-116/158-164)
2001459803813;3;Бриджи 222B-CY-55 (128-132/170-176)
2001459821213;2;Куртка 475T-FAS-90 (56-58/170-176)
2001459824849;8;Куртка 379T-P92-00 (52-54/170-176)
2001459824856;21;Куртка 379T-P92-00 (56-58/170-176)
2001459824870;15;Брюки 281T-P159-50 (44-46/170-176)
2001459824894;40;Брюки 281T-P159-50 (48-50/182-188)
2001459824900;38;Брюки 281T-P159-50 (52-54/170-176)
2001459824917;47;Брюки 281T-P159-50 (52-54/182-188)
2001459824924;22;Брюки 281T-P159-50 (56-58/170-176)
2001459824931;19;Брюки 281T-P159-50 (56-58/182-188)
2001459824948;5;Брюки 281T-P159-50 (60-62/170-176)
2001459824955;42;Брюки 281T-P159-50 (48-50/170-176)
2001459827741;1;Куртка 475T-FAS-55 (60-62/182-188)
2001459827758;3;Куртка 475T-FAS-55 (60-62/170-176)
2001459827765;1;Куртка 475T-FAS-55 (64-66/182-188)
2001459831519;2;Комбинезон 830-MU-75 (44-46/164)
2001459831526;6;Комбинезон 830-MU-75 (44-46/170)
2001459831533;9;Комбинезон 830-MU-75 (44-46/176)
2001459831540;4;Комбинезон 830-MU-75 (48-50/170)
2001459831557;7;Комбинезон 830-MU-75 (48-50/176)
2001459831588;6;Комбинезон 830-MU-75 (52-54/170)
2001459831595;5;Комбинезон 830-MU-75 (52-54/176)
2001459831601;11;Комбинезон 830-MU-75 (52-54/182)
2001459831625;4;Комбинезон 830-MU-75 (56-58/176)
2001459831632;3;Комбинезон 830-MU-75 (56-58/182)
2001459831656;1;Комбинезон 830-MU-75 (60-62/182)
2001459834572;2;Комбинезон 8831-TWILL-16/58 (48-50/170)
2001459834589;8;Комбинезон 8831-TWILL-16/58 (48-50/176)
2001459834596;9;Комбинезон 8831-TWILL-16/58 (48-50/182)
2001459834602;1;Комбинезон 8831-TWILL-16/58 (48-50/188)
2001459834633;8;Комбинезон 8831-TWILL-16/58 (52-54/182)
2001459834657;4;Комбинезон 8831-TWILL-16/58 (56-58/176)
2001459835449;4;Куртка 314-TOMBOY-81 (48-50/182)
2001459835456;15;Куртка 314-TOMBOY-81 (52-54/188)
2001459835463;3;Куртка 314-TOMBOY-81 (56-58/194)
2001459835470;6;Куртка 314-TOMBOY-81 (60-62/164)
2001459835487;11;Куртка 314-TOMBOY-81 (60-62/188)
2001459835494;6;Куртка 314-TOMBOY-81 (64-66/188)
2001459835500;2;Куртка 314-TOMBOY-58 (56-58/164)
2001459835517;3;Куртка 314-TOMBOY-58 (60-62/158)
2001459835524;3;Куртка 314-TOMBOY-58 (60-62/170)
2001459835548;5;Куртка 314-TOMBOY-58 (44-46/170)
2001459835555;4;Куртка 314-TOMBOY-58 (44-46/176)
2001459835586;1;Куртка 314-TOMBOY-58 (56-58/182)
2001459835593;3;Куртка 314-TOMBOY-15 (40-42/176)
2001459835609;3;Куртка 314-TOMBOY-15 (44-46/176)
2001459835616;4;Куртка 314-TOMBOY-15 (52-54/164)
2001459835623;1;Куртка 314-TOMBOY-15 (60-62/188)
2001459835661;12;Куртка 314-TOMBOY-80 (52-54/170)
2001459835791;3;Куртка 314-TOMBOY-13 (36-38/158)
2001459835814;3;Куртка 314-TOMBOY-13 (60-62/164)
2001459835838;2;Куртка 314-TOMBOY-13 (60-62/176)
2001459835869;11;Куртка 314-TOMBOY-13 (60-62/188)
2001459835883;2;Куртка 314-TOMBOY-13 (60-62/194)
2001459835906;3;Куртка 314-TOMBOY-13 (40-42/170)
2001459835913;6;Куртка 314-TOMBOY-13 (60-62/170)
2001459841457;10;Куртка 314-TOMBOY-00 (40-42/152)
2001459841464;7;Куртка 314-TOMBOY-00 (40-42/170)
2001459841495;181;Куртка 314-TOMBOY-00 (44-46/170)
2001459841501;13;Куртка 314-TOMBOY-00 (44-46/176)
2001459841518;2;Куртка 314-TOMBOY-00 (44-46/182)
2001459841532;1;Куртка 314-TOMBOY-00 (60-62/188)
2001459845004;18;Комбинезон 888N-TWILL-16/58 (44-46/170)
2001459845059;34;Комбинезон 888N-TWILL-16/58 (48-50/170)
2001459845073;40;Комбинезон 888N-TWILL-16/58 (48-50/176)
2001459845080;35;Комбинезон 888N-TWILL-16/58 (48-50/182)
2001459845097;22;Комбинезон 888N-TWILL-16/58 (48-50/188)
